timestamp_ms,dt_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll_deg,pitch_deg,yaw_deg,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,raw_baro_alt,raw_tof,raw_flow_squal,raw_flow_dx,raw_flow_dy,dev_pos_x,dev_pos_y,dev_pos_z,dev_vel_x,dev_vel_y,dev_vel_z,dev_roll_deg,dev_pitch_deg,dev_yaw_deg
11023,10.0,0.000004,-0.000009,-0.032968,0.000189,-0.000752,0.073698,-0.0004,-0.0002,0.0007,0.00000000,0.00000000,-0.00184470,-0.00001353,-0.00008690,0.00000000,-0.1566,0.1526,-9.7277,-0.002055,-0.001463,-0.002257,36.4687,0.0330,88,1,0,0.000158,0.000221,-0.032411,-0.000184,0.002859,-0.008445,-0.9492,-0.8688,0.2740
11035,12.0,-0.000008,-0.000067,-0.031727,-0.001109,-0.002243,0.133046,-0.0020,-0.0005,0.0009,0.00000000,-0.00000000,-0.00184470,-0.00001301,-0.00008355,0.00000000,-0.1499,0.1733,-9.7293,-0.002773,-0.000891,-0.004440,36.4687,0.0330,95,3,1,0.000166,0.000205,-0.032492,-0.000255,0.002560,-0.007706,-0.9498,-0.8688,0.2739
11046,11.0,-0.000001,-0.000071,-0.029067,-0.001616,-0.000498,0.204776,-0.0025,-0.0018,0.0005,0.00000000,0.00000000,-0.00184470,-0.00001511,-0.00008461,-0.00002774,-0.1636,0.1642,-9.7313,-0.000983,-0.001629,-0.002837,36.4687,0.0310,93,0,0,0.000106,0.000120,-0.032585,-0.000696,0.002076,-0.005735,-0.9524,-0.8682,0.2740
11057,11.0,-0.000007,-0.000058,-0.030941,-0.001256,-0.000142,0.085703,-0.4730,-0.4554,0.0015,0.00000360,0.00000348,-0.00184470,-0.00001635,-0.00008653,0.00007476,-0.1633,0.1679,-9.7409,-0.002868,-0.000320,-0.003564,36.4687,0.0310,93,0,0,0.000113,0.000127,-0.031521,-0.000669,0.002049,0.006889,-0.9544,-0.8739,0.2740
11068,11.0,0.000001,-0.000033,-0.029937,-0.001665,0.001240,0.087941,-0.4735,-0.4569,0.0006,0.00000360,0.00000348,-0.00184470,-0.00001953,-0.00008908,0.00005419,-0.1579,0.1768,-9.7532,-0.001261,-0.002716,-0.001708,36.4687,0.0310,81,-1,0,0.000126,0.000167,-0.031368,-0.000691,0.002075,0.008419,-0.9612,-0.8782,0.2735
11079,11.0,0.000025,0.000006,-0.028966,-0.000943,0.001533,0.088671,-0.6511,-0.6183,0.0020,0.00000629,0.00000591,-0.00184470,-0.00002443,-0.00009358,0.00005420,-0.1606,0.1843,-9.7302,-0.004032,-0.002243,-0.000136,36.4687,0.0320,89,-1,-1,0.000133,0.000197,-0.031239,-0.000738,0.002293,0.009565,-0.9601,-0.8776,0.2733
11090,11.0,0.000058,0.000011,-0.031276,-0.000914,0.002059,0.029775,-0.6579,-0.6250,0.0023,0.00000628,0.00000590,-0.00184470,-0.00002680,-0.00009646,0.00201723,-0.1637,0.1887,-9.7114,-0.003170,-0.001770,-0.000552,36.4687,0.0320,91,0,-1,0.000164,0.000230,-0.031667,-0.000542,0.002396,0.004564,-0.9669,-0.8839,0.1861
11101,11.0,0.000085,0.000050,-0.030944,-0.000426,0.002190,0.030580,-0.7597,-0.7096,0.0034,0.00000894,0.00000810,-0.00184470,-0.00003184,-0.00010140,0.00201703,-0.1752,0.1796,-9.7288,-0.004902,-0.001027,-0.003950,36.4687,0.0320,94,-1,-1,0.000227,0.000245,-0.031531,-0.000436,0.002450,0.006528,-0.9706,-0.8898,0.1873
11112,11.0,0.000094,0.000057,-0.030589,-0.000738,0.002567,0.031668,-0.7628,-0.7108,0.0035,0.00000894,0.00000810,-0.00184470,-0.00003524,-0.00009711,0.00199348,-0.1580,0.1795,-9.7321,-0.004225,-0.000266,-0.001807,36.5268,0.0310,87,0,0,0.000260,0.000277,-0.031461,-0.000480,0.002568,0.007309,-0.9711,-0.8903,0.1863
11123,11.0,0.000098,0.000069,-0.030771,-0.000589,0.002381,0.025147,-0.8237,-0.7628,0.0038,0.00001130,0.00001015,-0.00184470,-0.00002821,-0.00010403,0.00302614,-0.1626,0.1737,-9.7267,-0.003448,-0.003318,-0.004178,36.5268,0.0310,80,0,0,0.000274,0.000292,-0.031028,-0.000489,0.002292,0.011679,-0.9733,-0.8938,0.1866
